language,locale,episode,title,source_editorial_score,localization_naturalness,timing_fit,continuity_preservation,weighted_score,gate
pt-BR,pt-BR,E027,A sete minutos de distância,9.77,9.76,9.94,9.95,9.79,PASS
pt-BR,pt-BR,E028,Depois desta noite,9.77,9.76,9.85,9.95,9.79,PASS
pt-BR,pt-BR,E029,Ethan recebe o Sinal,9.8,9.76,9.89,9.95,9.81,PASS
pt-BR,pt-BR,E030,O detonador,9.79,9.76,9.83,9.95,9.8,PASS
pt-BR,pt-BR,E031,Bomba de sete minutos,9.79,9.76,9.92,9.95,9.81,PASS
pt-BR,pt-BR,E032,Jonah Reed,9.78,9.76,9.94,9.95,9.8,PASS
pt-BR,pt-BR,E033,Versão dezessete,9.74,9.76,9.83,9.95,9.76,PASS
pt-BR,pt-BR,E034,Return inicia,9.71,9.76,9.94,9.95,9.75,PASS
pt-BR,pt-BR,E035,O preço,9.79,9.76,9.96,9.95,9.81,PASS
pt-BR,pt-BR,E036,Dra. Vale,9.79,9.76,9.99,9.95,9.81,PASS
pt-BR,pt-BR,E037,Protocolo Return,9.73,9.76,9.83,9.95,9.76,PASS
pt-BR,pt-BR,E038,Jonah precisa morrer,9.78,9.76,9.99,9.95,9.81,PASS
pt-BR,pt-BR,E039,Silas Ward,9.79,9.76,9.99,9.95,9.81,PASS
pt-BR,pt-BR,E040,A cadeira vazia,9.79,9.76,9.85,9.95,9.8,PASS
pt-BR,pt-BR,E041,Clara está viva,9.76,9.76,9.96,9.95,9.79,PASS
pt-BR,pt-BR,E042,A previsão inquebrável,9.79,9.76,9.99,9.95,9.81,PASS
pt-BR,pt-BR,E043,Trem 407,9.8,9.76,9.94,9.95,9.82,PASS
pt-BR,pt-BR,E044,Uma vítima,9.78,9.76,9.87,9.95,9.79,PASS
pt-BR,pt-BR,E045,Erro de linha temporal,9.8,9.76,9.85,9.95,9.81,PASS
pt-BR,pt-BR,E046,Sem sinal,9.79,9.76,9.94,9.95,9.81,PASS
pt-BR,pt-BR,E047,A outra Maya,9.79,9.76,9.94,9.95,9.81,PASS
pt-BR,pt-BR,E048,Daniel recebe o Sinal,9.74,9.76,9.99,9.95,9.78,PASS
pt-BR,pt-BR,E049,A saída,9.79,9.76,9.87,9.95,9.8,PASS
pt-BR,pt-BR,E050,A sala trancada,9.79,9.76,9.82,9.95,9.8,PASS
pt-BR,pt-BR,E051,Quatro segundos perdidos,9.8,9.76,9.9,9.95,9.81,PASS
pt-BR,pt-BR,E052,Antes de nos conhecermos,9.74,9.76,9.89,9.95,9.77,PASS
pt-BR,pt-BR,E053,M. Vale,9.77,9.76,9.9,9.95,9.79,PASS
pt-BR,pt-BR,E054,Projetada,9.77,9.76,9.94,9.95,9.79,PASS
pt-BR,pt-BR,E055,Uma vida sem Maya,9.73,9.76,9.96,9.95,9.77,PASS
pt-BR,pt-BR,E056,Sete horas,9.76,9.76,9.92,9.95,9.79,PASS
pt-BR,pt-BR,E057,A injeção,9.77,9.76,9.82,9.95,9.78,PASS
pt-BR,pt-BR,E058,Nora começou,9.79,9.76,9.9,9.95,9.8,PASS
pt-BR,pt-BR,E059,Mensagem para amanhã,9.8,9.76,9.9,9.95,9.81,PASS
pt-BR,pt-BR,E060,O primeiro endereço,9.77,9.76,9.9,9.95,9.79,PASS
pt-BR,pt-BR,E061,Sete dias para a expansão,9.79,9.76,9.92,9.95,9.81,PASS
pt-BR,pt-BR,E062,Receptor 001,9.75,9.76,9.97,9.95,9.78,PASS
pt-BR,pt-BR,E063,O futuro do apagão,9.75,9.76,9.85,9.95,9.77,PASS
pt-BR,pt-BR,E064,Dra. Lena Voss,9.73,9.76,9.83,9.95,9.76,PASS
pt-BR,pt-BR,E065,O preço de Clara,9.78,9.76,9.94,9.95,9.8,PASS
pt-BR,pt-BR,E066,O problema de Clara,9.76,9.76,9.97,9.95,9.79,PASS
pt-BR,pt-BR,E067,Localização de Clara adquirida,9.76,9.76,9.83,9.95,9.78,PASS
pt-BR,pt-BR,E068,A chave da âncora,9.76,9.76,9.83,9.95,9.78,PASS
pt-BR,pt-BR,E069,Maya causa o apagão,9.76,9.76,9.94,9.95,9.79,PASS
pt-BR,pt-BR,E070,Silas,9.75,9.76,9.99,9.95,9.79,PASS
pt-BR,pt-BR,E071,O vilão errado,9.72,9.76,9.94,9.95,9.76,PASS
pt-BR,pt-BR,E072,A mentira de Jonah,9.73,9.76,9.9,9.95,9.76,PASS
pt-BR,pt-BR,E073,Dezesseis reinícios,9.72,9.76,9.99,9.95,9.76,PASS
pt-BR,pt-BR,E074,O prazo final,9.74,9.76,9.92,9.95,9.77,PASS
pt-BR,pt-BR,E075,Assassinato em sete dias,9.78,9.76,9.97,9.95,9.8,PASS
pt-BR,pt-BR,E076,Dois Jonahs,9.73,9.76,9.82,9.95,9.75,PASS
pt-BR,pt-BR,E077,A sala de réplicas,9.77,9.76,9.89,9.95,9.79,PASS
pt-BR,pt-BR,E078,Evento de origem,9.74,9.76,9.94,9.95,9.77,PASS
pt-BR,pt-BR,E079,O inimigo é AHEAD,9.76,9.76,9.99,9.95,9.79,PASS
pt-BR,pt-BR,E080,Consenso,9.72,9.76,9.85,9.95,9.75,PASS
pt-BR,pt-BR,E081,A linha apagada,9.73,9.76,9.87,9.95,9.76,PASS
pt-BR,pt-BR,E082,Lena ensinou,9.79,9.76,9.97,9.95,9.81,PASS
pt-BR,pt-BR,E083,A versão vilã,9.7,9.76,9.89,9.95,9.74,PASS
pt-BR,pt-BR,E084,O que Maya fez,9.7,9.76,9.82,9.95,9.73,PASS
pt-BR,pt-BR,E085,Maya desaparecida,9.78,9.76,9.87,9.95,9.79,PASS
pt-BR,pt-BR,E086,Bem-vinda de volta,9.76,9.76,9.99,9.95,9.79,PASS
pt-BR,pt-BR,E087,Versão dezoito,9.75,9.76,9.85,9.95,9.77,PASS
pt-BR,pt-BR,E088,Não salve Nora,9.77,9.76,9.82,9.95,9.78,PASS
pt-BR,pt-BR,E089,O primeiro pacote,9.78,9.76,9.85,9.95,9.79,PASS
pt-BR,pt-BR,E090,Edite o ciclo,9.78,9.76,9.89,9.95,9.8,PASS
pt-BR,pt-BR,E091,O teste da amizade,9.78,9.76,9.82,9.95,9.79,PASS
pt-BR,pt-BR,E092,Estranhos outra vez,9.76,9.76,9.99,9.95,9.79,PASS
pt-BR,pt-BR,E093,Eles se encontram mesmo assim,9.75,9.76,9.92,9.95,9.78,PASS
pt-BR,pt-BR,E094,Versão treze,9.78,9.76,9.92,9.95,9.8,PASS
pt-BR,pt-BR,E095,Sete minutos restantes,9.75,9.76,9.82,9.95,9.77,PASS
pt-BR,pt-BR,E096,A âncora,9.79,9.76,9.89,9.95,9.8,PASS
pt-BR,pt-BR,E097,Regras finais,9.79,9.76,9.99,9.95,9.81,PASS
pt-BR,pt-BR,E098,V13 Override,9.79,9.76,9.87,9.95,9.8,PASS
pt-BR,pt-BR,E099,A escolha,9.71,9.76,9.82,9.95,9.74,PASS
pt-BR,pt-BR,E100,7 minutos à frente,9.73,9.76,9.89,9.95,9.76,PASS
